scraped_at,event_id,url,name,date,date_formatted,city,state,country,fights
2026-03-13 15:31:23 UTC,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/event-details/79ab17db3b40831a,UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",2026-02-21,Houston,Texas,USA,"a64b0ca1-fedd-5b59-8d6f-fb6ad7e5a8e8, 929125c0-16b9-5bbe-8048-16cf7c4e8b49, 7e114c56-4565-5298-903c-9d8ae7b73925, 8fa38453-5d48-599b-9d5f-d5845afe188c, ca2f5747-2a28-5bec-b65b-f974c04d2519, 4cc3e189-efda-5807-a787-3785ae9bd48f, 0363b491-bb1d-5767-ad1b-40d846d901fd, 5c2d0b0c-8f6d-5fb8-806a-b4ea66721439, f48a5d3d-e744-5f9e-87bf-954799f8fc37, 98b4d30b-7a32-588e-a65c-cb263b2366fd, 1f4e9078-acfe-578c-b9c4-d19c0545ac5b, 0a6a9976-1191-5b90-bccc-a6bec36382c6, f9d81274-4a81-5b44-92a7-acd977709eba, ed8a3b62-8a30-5ce3-813d-08a4a2c3a91a"
2026-03-13 15:31:25 UTC,45033062-9852-5cd4-889d-b90833d19658,http://www.ufcstats.com/event-details/0cfbbfa0ba6d9855,UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",2026-02-28,Mexico City,Distrito Federal,Mexico,"04ac07b7-14c2-58df-936b-c12df609def7, edd909e8-db58-5da6-acc8-e917b0de5b6d, f2410f2a-e03d-5ec2-8e16-4c0c928a5962, 86c4f5e7-0815-582d-8b57-9332434088e3, 0cad18e9-62cd-5480-92a7-b3f752ff9996, 7d794d6e-0699-52f3-ba74-64908bc96a13, 965c7348-e062-55c1-ba43-f73fa9f436ff, d80d8b32-9569-5d61-a8a0-e50f859c41a8, fcb6cd62-59b8-52d8-8c7e-ed34e4bfca80, bafcc312-8ee0-5488-965d-5572ab5f7f03, 522f7eec-78d6-537b-96eb-f1e08bfc5964, 8c2f71c0-d601-5f8f-8be5-f381955fab21, 5a5d2a2b-2ca7-5158-8d11-3aa65bcc6efd"
2026-03-13 15:31:26 UTC,2816ee97-2b58-5e5f-ab02-b466a37a4722,http://www.ufcstats.com/event-details/15ec018d144710db,UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",2026-03-07,Las Vegas,Nevada,USA,"30a21967-e24d-536e-a8ec-0b4035080e3a, 6c945b71-c76d-542a-9eb3-0d4ae7ae2410, ef981ad9-80f8-55f1-83fe-72db8d2458e9, f6a808ad-f5d9-5096-9b74-628b17ddbc79, 6697796e-8618-5b6a-a0c6-4828255ed7f9, 5f4cf617-cce8-55d0-bb96-60ecc57455f6, 20b4e544-4585-5f1a-bc7e-d20852e0b226, 95fa0f55-341b-557d-ba0f-3751a2c830d9, 1b7cd706-f316-58f3-b97b-f7ccb88f4da1, 15ae2752-138f-5140-a9c1-626616ea2111, 643daad2-6fd7-50fb-9dfd-8da64000c883, 419e1af0-65f5-5dfb-a549-8ddccc837a15"
